Full Name,License Number,Address,Date of Birth,Issue Date,Expiry Date,State,Endorsements,Class,Sex,Height,Weight (lbs),Eye Color,Organ Donor
Derrick Middleton,S65970360,"0753 Nicole Street, Moralesport, MI 16869",12/29/1982,12/05/2019,12/20/2034,Massachusetts,Four Wheeler,D,M,"6'5""",149,Brown,No
Erica Barker,S81948602,"2270 Samuel Passage Apt. 614, South Danielle, VT 88106",09/02/1971,03/24/2016,02/27/2030,Massachusetts,Four Wheeler,CDL,F,"4'4""",120,Green,Yes
Stephanie Wilson,S59584871,"4585 David Loaf Suite 705, Andersonchester, MN 20000",12/27/1969,02/01/2024,06/03/2032,Massachusetts,Four Wheeler,CDL,F,"5'8""",113,Brown,Yes
Patricia Pope,S60290129,"8118 Tonya Crescent, Markport, KY 78581",12/18/1982,12/19/2016,08/12/2032,Massachusetts,Four Wheeler,CDL,M,"4'9""",240,Brown,No
Joseph French,S33705767,"463 Scott Drives, Dennismouth, CO 40543",11/27/1976,09/22/2020,03/01/2030,Massachusetts,Four Wheeler,M,M,"4'2""",114,Hazel,Yes
Kimberly Hernandez,S94597643,"08345 Torres Fork Suite 403, Port Amanda, MA 88072",01/07/1970,03/14/2022,01/03/2033,Massachusetts,Four Wheeler,M,M,"4'6""",213,Blue,No
Brian Thomas,S72325545,"314 Chad Garden, Mullinsview, IN 65686",02/14/2065,07/03/2024,05/16/2035,Massachusetts,Four Wheeler,CDL,F,"4'8""",113,Hazel,No
Mary Sanchez,S56617825,"0476 Mclean Mountains, Lake Lisa, IL 47826",01/21/1974,06/03/2022,08/01/2032,Massachusetts,Four Wheeler,D,M,"5'6""",211,Green,Yes
Rachel Duke,S73346391,"225 Robert Hills Suite 966, New Calebmouth, MA 93906",02/09/1969,02/17/2022,08/20/2028,Massachusetts,Four Wheeler,CDL,M,"6'4""",190,Blue,Yes
Brenda Jones,S50357883,"4674 Hurst Prairie, Elizabethmouth, DC 17783",08/31/2055,03/25/2023,08/21/2033,Massachusetts,Four Wheeler,D,M,"6'3""",196,Brown,No
Barbara Jones,S24939479,"75331 Briana Wells, Port James, ID 76019",11/14/2003,04/09/2024,07/07/2031,Massachusetts,Four Wheeler,M,F,"5'5""",196,Green,Yes
Ryan Diaz,S83554056,"5001 Kaitlyn Mall, Brownchester, ND 84866",06/22/2052,10/16/2021,08/21/2027,Massachusetts,Four Wheeler,D,M,"6'2""",195,Blue,No
Joshua Duffy,S44512413,"6504 Robertson Mountain, Hallville, NE 94571",12/19/1986,01/18/2019,05/03/2033,Massachusetts,Four Wheeler,CDL,M,"6'6""",114,Blue,Yes
Scott Jones,S68833151,"632 Clark Prairie Apt. 365, Richardsonshire, NJ 88143",09/16/2049,11/25/2017,10/18/2030,Massachusetts,Four Wheeler,CDL,M,"4'6""",219,Hazel,No
Karen Jackson,S44903694,"493 Moore Turnpike, Alexanderland, MT 74299",04/01/2050,08/01/2023,08/29/2026,Massachusetts,Four Wheeler,CDL,F,"4'5""",120,Brown,Yes
Ashley Carter,S76653966,"120 Singh Locks Apt. 741, Kyleville, CA 56241",09/29/1973,09/17/2015,07/20/2027,Massachusetts,Four Wheeler,CDL,F,"6'10""",130,Gray,No
Joyce Jones,S18039282,"56048 Fischer Bypass, East Kathleenville, NJ 37339",10/15/2003,08/03/2016,01/06/2031,Massachusetts,Four Wheeler,D,F,"5'3""",153,Blue,Yes
Kathleen Lam,S17200027,"912 Nguyen Field Suite 382, South Carlosburgh, IL 95887",05/25/2063,04/28/2017,03/01/2035,Massachusetts,Four Wheeler,M,F,"6'2""",198,Brown,Yes
Ryan Webb,S58315613,"PSC 7163, Box 4948, APO AE 98125",04/02/1986,04/18/2016,02/07/2033,Massachusetts,Four Wheeler,CDL,F,"6'4""",207,Gray,No
Jacqueline Phillips,S15902118,"Unit 0980 Box 0271, DPO AP 30617",05/29/1995,01/18/2017,07/09/2029,Massachusetts,Four Wheeler,D,F,"5'2""",199,Gray,No
Rebecca Howard,S48324350,"40344 Ashley Mews Apt. 486, South Kara, AK 72073",03/04/2002,07/10/2016,10/03/2028,Massachusetts,Four Wheeler,CDL,M,"6'11""",198,Brown,No
Savannah Matthews,S35097735,"505 Jeffrey Turnpike Apt. 883, North Elizabethborough, OR 98789",01/28/1992,09/22/2017,10/22/2034,Massachusetts,Four Wheeler,M,F,"4'7""",162,Gray,Yes
Katie Williams,S10584567,"78867 Mark Lake Apt. 045, Jacobview, MO 62529",08/07/2068,11/27/2015,01/18/2030,Massachusetts,Four Wheeler,M,M,"4'4""",167,Blue,Yes
Kristina Mejia,S90285449,"Unit 5923 Box 9776, DPO AA 60457",02/01/2066,10/01/2020,09/06/2032,Massachusetts,Four Wheeler,M,M,"5'9""",212,Green,Yes
